,water2,water3,xtilt,ytilt
0,28.39,28.42,-1.5339017302858193,-2.138798778341677
1,28.36,28.37,-1.5324595535671028,-2.140221550773771
2,28.32,28.33,-1.532541168645528,-2.1405502999953376
3,28.3,28.28,-1.5303756803958894,-2.1427848594474335
4,28.27,28.24,-1.5275870880937965,-2.1421909499532963
5,28.24,28.19,-1.5271965852370648,-2.144987764682717
6,28.21,28.15,-1.525186849133685,-2.144431462354595
7,28.19,28.12,-1.5230731206160584,-2.143694599112107
8,28.16,28.08,-1.5211312609650531,-2.1429284145785346
9,28.12,28.04,-1.5214077684153187,-2.142480765212611
10,28.08,28.01,-1.5208276362876045,-2.1439684385601843
11,28.04,27.97,-1.5206034927342473,-2.142590333865645
12,28.02,27.94,-1.5206709506285236,-2.1421260395836574
13,27.98,27.91,-1.520640892822295,-2.1415689561218767
14,27.96,27.88,-1.5195130014694511,-2.141262738760508
15,27.92,27.84,-1.5188644178954067,-2.1395966557215744
16,27.9,27.82,-1.5180609821275286,-2.139433138367026
17,27.86,27.78,-1.5185584737655495,-2.139648527332129
18,27.83,27.75,-1.5177358548936937,-2.139856739692848
19,27.8,27.72,-1.5162169257048221,-2.1405435457447664
20,27.77,27.7,-1.5175335987327954,-2.1407069918705695
21,27.74,27.68,-1.5179831740431282,-2.141792768525869
22,27.7,27.66,-1.5164039198469788,-2.1412474459231485
23,27.69,27.64,-1.5145641603884765,-2.139036863075953
24,27.68,27.61,-1.5141897428000695,-2.1409476488818573
25,27.75,27.59,-1.513513046677222,-2.141353935047045
26,27.87,27.56,-1.513058121716388,-2.1427651392484166
27,27.9,27.55,-1.5139455418666687,-2.1435059194007025
28,27.89,27.53,-1.5143254733591582,-2.1430483921432213
29,27.87,27.51,-1.5139535552110328,-2.1435671975425254
30,27.85,27.49,-1.513311675438776,-2.142035580958879
31,27.84,27.48,-1.5152293935539205,-2.141511823443094
32,27.81,27.46,-1.5125092252445542,-2.142098478923007
33,27.78,27.45,-1.5116634703892102,-2.14235992054025
34,27.73,27.44,-1.5077448926856407,-2.138187737893812
35,27.69,27.41,-1.5083662024456421,-2.138452656715103
36,27.64,27.4,-1.5081428812575546,-2.1379873144568875
37,27.61,27.39,-1.5100377287047766,-2.1379158199907917
38,27.55,27.38,-1.5048585880820327,-2.136304743551658
39,27.5,27.36,-1.5048057102401402,-2.138620935422878
40,27.43,27.34,-1.5057552371801046,-2.1354471332586424
41,27.35,27.35,-1.505428592791342,-2.1336994989924487
42,27.26,27.33,-1.5013742026598893,-2.131239411858697
43,27.18,27.33,-1.5000529256154664,-2.130677555484757
44,27.13,27.32,-1.5015910554370058,-2.130102492190872
45,27.06,27.31,-1.5006994005839795,-2.130878464129393
46,26.98,27.3,-1.4977983509722808,-2.130097746135018
47,26.91,27.27,-1.4978614773444332,-2.131321221268589
48,26.83,27.24,-1.4963163226841714,-2.1299102426762584
49,26.75,27.22,-1.495861137869211,-2.1298886768556233
50,26.66,27.2,-1.4951253128036874,-2.1296608016076544
51,26.58,27.17,-1.493451878026713,-2.128877523279324
52,26.5,27.15,-1.4942931227433205,-2.1294181158088175
53,26.42,27.13,-1.4939402981249978,-2.130193530911625
54,26.35,27.11,-1.4933034752588117,-2.1301008992471835
55,26.27,27.09,-1.4921112914330117,-2.130631432254359
56,26.19,27.07,-1.4914654081043202,-2.1291232247608227
57,26.11,27.05,-1.4912626649723524,-2.129655215920246
58,26.04,27.03,-1.4909803640583266,-2.1317363557197826
59,25.95,27.0,-1.4909871509785644,-2.134609417983316
60,25.87,26.98,-1.489770246823383,-2.136759331954007
61,25.8,26.96,-1.4900681903717266,-2.1374144253902014
62,25.73,26.94,-1.4894116967976672,-2.139214614178318
63,25.66,26.92,-1.4899846631184903,-2.139340242278246
64,25.6,26.9,-1.489779761646877,-2.1398068896997926
65,25.53,26.88,-1.490535776617625,-2.141303809131069
66,25.46,26.86,-1.4898804727107358,-2.1405696924150397
67,25.39,26.83,-1.4896553266615835,-2.1417777803758713
68,25.34,26.82,-1.4898353788649676,-2.1417139392334823
69,25.27,26.8,-1.4898777067859164,-2.1400101137151823
70,25.21,26.78,-1.4899234692804926,-2.1420914735332723
71,25.15,26.76,-1.490254493269723,-2.1424654385493915
72,25.1,26.74,-1.488481156654291,-2.140350281931649
73,25.05,26.73,-1.4890792681649558,-2.1413604757680957
74,25.0,26.71,-1.4895865163145057,-2.1420401462393133
75,24.95,26.69,-1.490256215675015,-2.1425132941566414
76,24.89,26.67,-1.488970323250121,-2.142481669712778
77,24.85,26.65,-1.4877504338860918,-2.1428604666403404
78,24.8,26.62,-1.487419311842046,-2.1422844316522265
79,24.75,26.61,-1.487079887135538,-2.142824174269088
80,24.71,26.6,-1.4876396799459048,-2.142756500001548
81,24.66,26.58,-1.487918186374352,-2.144384626815304
82,24.62,26.57,-1.485854914302615,-2.143490025901848
83,24.57,26.56,-1.4860621367957643,-2.1436406864873643
84,24.53,26.54,-1.486062988754955,-2.1418940597301117
85,24.49,26.51,-1.4867945840973578,-2.1423938168343115
86,24.45,26.5,-1.4863622636753555,-2.1409296593723317
87,24.41,26.49,-1.4874368686531627,-2.139378368631109
88,24.37,26.48,-1.487189221389888,-2.1392762132103345
89,24.34,26.47,-1.48653025683928,-2.1380999086309553
90,24.3,26.46,-1.4870928880442429,-2.137530598258876
91,24.26,26.44,-1.4881473821542477,-2.138233529883846
92,24.22,26.41,-1.4874253768257146,-2.138825871570113
93,24.19,26.4,-1.4869028657412229,-2.1385435366836645
94,24.16,26.39,-1.4869664998200078,-2.139340211476642
95,24.12,26.34,-1.4879116993381054,-2.1394456350776156
96,24.08,26.33,-1.487913149757252,-2.1409837084149266
97,24.05,26.31,-1.4874470522205774,-2.139857824075776
98,24.02,26.28,-1.4866200631846214,-2.1393762589833645
99,23.98,26.26,-1.4849098614669596,-2.138690623621452
100,23.95,26.23,-1.4830363738706491,-2.136741912004029
101,23.9,26.21,-1.4823334674945585,-2.1358272266645764
102,23.86,26.19,-1.481780466384741,-2.1383558177884145
103,23.81,26.18,-1.4815049985688893,-2.1365147369836244
104,23.77,26.17,-1.4808275632225936,-2.1366847619779517
105,23.71,26.16,-1.481244960679051,-2.138321778605906
106,23.65,26.14,-1.4799449528337525,-2.1365724434790465
107,23.6,26.14,-1.4784451730475743,-2.1362851966603977
108,23.55,26.12,-1.4784566185482124,-2.1353653382291666
109,23.49,26.1,-1.4790238467168348,-2.1356676221577224
110,23.44,26.08,-1.4791059875025327,-2.135631944064874
111,23.41,26.06,-1.477038916121762,-2.1363043155185406
112,23.33,26.06,-1.4760187706996055,-2.13434938831722
113,23.25,26.06,-1.4753673763703954,-2.134202889743137
114,23.18,26.05,-1.4741009161295524,-2.1327463078807214
115,23.1,26.03,-1.474913358721635,-2.132311894553413
116,23.01,26.02,-1.473990384199267,-2.1322899918510543
117,22.91,26.01,-1.473277119131703,-2.130838665816908
118,22.83,25.98,-1.4736214990352507,-2.1302386285106287
119,22.73,25.95,-1.4736692037550563,-2.130571036969758
120,22.64,25.92,-1.4716546867012887,-2.1302615697764424
121,22.55,25.9,-1.4714488863299073,-2.1302933272476787
122,22.46,25.88,-1.4710068871553188,-2.129213265503897
123,22.39,25.86,-1.469863867758684,-2.130067556024381
124,22.31,25.84,-1.4695815051959986,-2.129792064435246
125,22.22,25.82,-1.468743151886984,-2.1315621523480632
126,22.13,25.79,-1.4687031053018391,-2.1331524504648165
127,22.04,25.76,-1.4697257583554957,-2.135130185654011
128,21.96,25.75,-1.4705467688751723,-2.1346538429658515
129,21.88,25.72,-1.4704551227638956,-2.1361645725221146
130,21.79,25.69,-1.4705543322535153,-2.1362351760550444
131,21.71,25.67,-1.4727456471664884,-2.1364298761118654
132,21.64,25.65,-1.4732417253234389,-2.135494043765654
133,21.57,25.62,-1.4748577341067117,-2.1357214894422634
134,21.55,25.59,-1.4751061481840888,-2.1357524207513605
135,21.54,25.55,-1.4768598772756518,-2.136309571623795
136,21.51,25.53,-1.476366480046585,-2.135095126014714
137,21.48,25.5,-1.4776640565720496,-2.134630327824911
138,21.45,25.47,-1.4779431902547266,-2.1349077932370863
139,21.41,25.45,-1.4775003044381496,-2.1335069478910835
140,21.38,25.42,-1.478922237915215,-2.133804600978625
141,21.36,25.4,-1.4790781353165061,-2.1339067205154296
142,21.33,25.37,-1.4788541703206104,-2.1334942030741497
143,21.31,25.36,-1.4786063347220577,-2.1337954178804655
144,21.28,25.34,-1.477986171161229,-2.134154123569632
145,21.26,25.31,-1.479211915326813,-2.1342084603072986
146,21.24,25.3,-1.4783385621851024,-2.133845934627535
147,21.22,25.27,-1.4797957270288828,-2.1364535721662623
148,21.21,25.25,-1.4774685790202287,-2.135533032161928
149,21.18,25.24,-1.478393117724871,-2.136179662435023
150,21.17,25.22,-1.476686286072626,-2.1384268008869394
151,21.16,25.2,-1.4772956764687797,-2.138350812886287
152,21.14,25.2,-1.4776083951999146,-2.136727320715738
153,21.12,25.17,-1.475986846973712,-2.1385299852090474
154,21.11,25.15,-1.4757184739436568,-2.1386388509092042
155,21.1,25.14,-1.4749371046635207,-2.1373847063087705
156,21.08,25.12,-1.4764160509381243,-2.135262432415157
157,21.07,25.11,-1.4765621827972337,-2.1363645352347795
158,21.06,25.08,-1.4766247043881602,-2.134044199323337
159,21.04,25.07,-1.4767085689855366,-2.132538891230837
160,21.03,25.06,-1.4770259729708035,-2.132124440831424
161,21.02,25.05,-1.47568969662444,-2.1304573997292025
162,21.0,25.03,-1.4768026886835819,-2.1305537744295533
163,21.0,25.01,-1.4768217634962646,-2.1319952073498416
164,20.98,25.01,-1.4765590459974747,-2.1312076577975354
165,20.97,24.99,-1.4776133748340736,-2.1317108661772783
166,20.97,24.98,-1.4772182829257108,-2.1322412787032796
167,20.96,24.97,-1.476791047918407,-2.1317984979986795
168,20.95,24.96,-1.4779744478402785,-2.1323093331013774
169,21.02,24.96,-1.4751717019280073,-2.1291264197748268
170,21.01,24.95,-1.4760704171499148,-2.1299495390254064
171,21.0,24.93,-1.4757324932177722,-2.130671420758911
172,21.18,24.94,-1.4745329272066383,-2.1312750331779853
173,23.6,24.97,-1.4732113148577335,-2.133651470968983
174,23.97,25.12,-1.4715516036816967,-2.13530305826081
175,24.0,25.15,-1.4707488239713686,-2.135034425019088
176,24.0,25.16,-1.4701024923636818,-2.1358761375937507
177,23.99,25.16,-1.4692969454498699,-2.1359604996829056
178,23.99,25.18,-1.4692900776113988,-2.1363861216890605
179,23.98,25.18,-1.4689148603769546,-2.1377172294975764
180,23.95,25.19,-1.468885530290963,-2.1372625614324967
181,23.94,25.18,-1.4720522627192087,-2.1376509428607986
182,23.92,25.18,-1.4695096468166282,-2.1387386151366234
183,23.88,25.2,-1.4690569347166738,-2.1382415679760056
184,23.82,25.21,-1.4709370494030414,-2.138646916177124
185,23.79,25.22,-1.4713433683558026,-2.1381870995821215
186,23.73,25.23,-1.4706107076924944,-2.1381314224640775
187,23.69,25.23,-1.468458292842692,-2.138873474780166
188,23.63,25.23,-1.4665304304502733,-2.1386559085851324
189,23.6,25.24,-1.4668268773423188,-2.1402265602407446
190,23.56,25.24,-1.4663555706551719,-2.1384437194664296
191,23.52,25.24,-1.4645803360724283,-2.138678468089951
192,23.48,25.23,-1.4659674236167126,-2.1372844004736136
193,23.44,25.23,-1.4660085158453513,-2.1375283285427362
194,23.41,25.23,-1.4668933711217018,-2.1379697418597794
195,23.37,25.22,-1.4672203594781723,-2.137820949149794
196,23.34,25.22,-1.4666536478736594,-2.137953560941195
197,23.31,25.21,-1.4666469211870843,-2.138798475613116
198,23.28,25.21,-1.4654755679129536,-2.139135114475854
199,23.27,25.21,-1.4663162542763954,-2.1390906158834038
200,23.24,25.2,-1.4666156961149746,-2.1392830575247075
201,23.22,25.19,-1.4665656536358744,-2.1385855120855157
202,23.2,25.19,-1.4660216181871955,-2.13928832352647
203,23.17,25.17,-1.4670316445414817,-2.1402595834135267
204,23.15,25.17,-1.4663893538246282,-2.1397701085049508
205,23.13,25.16,-1.466987450240612,-2.1410664697916855
206,23.12,25.15,-1.465797729732685,-2.14195646548769
207,23.1,25.15,-1.466159169701773,-2.142464212852087
208,23.09,25.15,-1.466626307471611,-2.1424213146006803
209,23.08,25.13,-1.4660356988801688,-2.141924219845715
210,23.07,25.13,-1.4673725294140443,-2.141889857631613
211,23.04,25.12,-1.4673563631083768,-2.142358094331399
212,23.03,25.12,-1.466742175197765,-2.1420995197090793
213,23.02,25.12,-1.4669761532611325,-2.141209496067993
214,23.01,25.11,-1.467273009562294,-2.140358106783811
215,23.0,25.1,-1.4671543519629726,-2.1403756378841807
216,23.65,25.26,-1.467475793371637,-2.1395804434800136
217,24.05,25.29,-1.4719073614924574,-2.143136992126339
218,24.14,25.3,-1.4726703980255642,-2.14509242716514
219,24.21,25.3,-1.4745630132853444,-2.1468503144570295
220,24.24,25.31,-1.475979195998044,-2.147369299788707
221,24.26,25.32,-1.4772732507458017,-2.1483048285287834
222,24.26,25.33,-1.4772618642473168,-2.1476330467563827
223,24.28,25.33,-1.47764211203591,-2.149389263411716
224,24.3,25.33,-1.4785126016161914,-2.149051223294919
225,24.32,25.34,-1.4779537922626553,-2.149706588634312
226,24.33,25.35,-1.4782329467651305,-2.150340305129458
227,24.35,25.35,-1.4796231405523186,-2.1528306765530454
228,24.34,25.35,-1.478850583567186,-2.1528742205448492
229,24.36,25.35,-1.4796477333628895,-2.1526070132324038
230,24.37,25.36,-1.4799772393567059,-2.154018377482689
231,24.36,25.37,-1.480878058245069,-2.154216333988409
232,24.37,25.37,-1.4806259677478784,-2.153266388511709
233,24.38,25.38,-1.4807088030463589,-2.1536336076499754
234,24.37,25.38,-1.4806668147634967,-2.153195806968723
235,24.38,25.39,-1.480797845012355,-2.1547513566270444
236,24.38,25.39,-1.4807711215290817,-2.1543513554140747
237,24.38,25.39,-1.4811660548560608,-2.1543798064192057
238,24.37,25.39,-1.4823005364554742,-2.155387508950981
239,24.37,25.41,-1.4825018536969268,-2.1577099112188294
240,24.38,25.41,-1.4842074488858914,-2.154784196112996
241,24.37,25.42,-1.483498646038862,-2.153605775982684
242,24.38,25.42,-1.4749144979168058,-2.1490723438620614
243,24.37,25.42,-1.4797042784765764,-2.152390746638582
244,24.37,25.43,-1.4821052333001026,-2.1522410068573077
245,24.36,25.43,-1.48213231699205,-2.1524559943343906
246,24.35,25.44,-1.4823476354985932,-2.1553990394127283
247,24.35,25.45,-1.4831849944654576,-2.1560721668890364
248,24.33,25.45,-1.4837591941501826,-2.1561732707094285
249,24.33,25.47,-1.4833293694434155,-2.1538621227503794
250,24.32,25.48,-1.4837828978850502,-2.1570292978353525
251,24.3,25.49,-1.4830855897478143,-2.1542078425539586
252,24.28,25.5,-1.4843803248074328,-2.154156837366061
253,24.27,25.51,-1.484319530498058,-2.156310353828474
254,24.24,25.51,-1.4831366012103855,-2.1537723821337735
255,24.22,25.53,-1.4833581169684356,-2.1562655324757456
256,24.19,25.53,-1.4832405607170078,-2.1563793735663053
257,24.16,25.55,-1.4829984762502768,-2.1535403653992726
258,24.14,25.56,-1.4835446185081538,-2.1522693147378886
259,24.1,25.57,-1.483129116539134,-2.1532480048963505
260,24.08,25.57,-1.481319108425865,-2.1550288599404657
261,24.05,25.58,-1.4817072077410256,-2.153807269944816
262,24.02,25.59,-1.4813984706006347,-2.1543137646518398
263,23.99,25.58,-1.4823063327835786,-2.1518135943873467
264,23.96,25.61,-1.4787474998260242,-2.152264478966844
265,23.95,25.6,-1.4790189978462118,-2.1536690419016202
266,23.92,25.6,-1.4796590496618076,-2.154424248366245
267,23.9,25.6,-1.4825923250407114,-2.1535186208649533
268,23.87,25.6,-1.4787193583505598,-2.153311650003315
269,23.86,25.6,-1.481256363578342,-2.1525742313600755
270,23.83,25.61,-1.4793695900313506,-2.1532681103056506
271,23.82,25.61,-1.4802919759360365,-2.1538632656157084
272,23.8,25.6,-1.4799553273439243,-2.1544380477275955
273,23.78,25.61,-1.48043180147683,-2.154958383911222
274,23.75,25.6,-1.4809013000808782,-2.1549066026222774
275,23.73,25.6,-1.4818689925846162,-2.155233257836895
276,23.71,25.61,-1.481297260353003,-2.1545458404243165
277,23.7,25.6,-1.4813864198086963,-2.155400939007915
278,23.68,25.6,-1.481290347062633,-2.1542334033081096
279,23.67,25.59,-1.4815727743523208,-2.154261079699948
280,23.64,25.59,-1.4808719418550274,-2.1532117514981395
281,23.64,25.59,-1.4807800659640875,-2.1530628478536213
282,23.61,25.59,-1.4812331404766645,-2.1538560881706057
283,23.59,25.58,-1.48099536300382,-2.15435637465325
284,23.58,25.58,-1.4811413974083474,-2.153310986282314
285,23.56,25.58,-1.4811784881263454,-2.1540179778747057
286,23.55,25.57,-1.4810344447802073,-2.154100596505153
287,23.53,25.57,-1.4811223589217104,-2.1536634225565185
288,23.52,25.57,-1.4812888598859932,-2.155683633429414
289,23.5,25.58,-1.4807584824027178,-2.1543232866792223
290,23.48,25.57,-1.4806336600610122,-2.155569023448165
291,23.47,25.56,-1.482298520184773,-2.1548273304978878
292,23.45,25.56,-1.4807860744932968,-2.1569380347408496
293,23.44,25.56,-1.480790249910514,-2.1539308515089584
294,23.42,25.56,-1.4808573840340284,-2.1543903940161204
295,23.41,25.56,-1.4806208323960632,-2.1538281627183786
296,23.39,25.55,-1.4805890439312142,-2.154146655720716
297,23.37,25.55,-1.482528735586124,-2.1537288069692404
298,23.35,25.54,-1.482909239931356,-2.153487402509316
299,23.34,25.55,-1.480557943403982,-2.1540613505077233
300,23.33,25.55,-1.479951492400231,-2.1530723538555856
301,23.31,25.54,-1.4820170446538892,-2.1543322248850836
302,23.29,25.54,-1.4825073693672002,-2.153967613980517
303,23.29,25.54,-1.4801372873975072,-2.1538345756212234
304,23.27,25.54,-1.4804799032171332,-2.1538550823044367
305,23.26,25.54,-1.4823900432950394,-2.1556627653080156
306,23.24,25.54,-1.4833871597864585,-2.1540487215487416
307,23.23,25.54,-1.480809018461443,-2.153110105452115
308,23.21,25.55,-1.4817827405902666,-2.153834940873768
309,23.19,25.54,-1.4819824283198468,-2.15482334588566
310,23.18,25.55,-1.4801457834271206,-2.152852528417957
311,23.17,25.55,-1.4780728352888284,-2.152666335434519
312,23.16,25.54,-1.4781196617085122,-2.1527327846622577
313,23.13,25.54,-1.4783438131831803,-2.1514026737513965
314,23.11,25.56,-1.4766944835864173,-2.1524151512168297
315,23.11,25.55,-1.477970956806282,-2.149014389728466
316,23.09,25.56,-1.478151000083287,-2.1518674019361765
317,23.06,25.58,-1.4775603778505204,-2.1516469712828656
318,23.03,25.58,-1.4778213977322643,-2.1519238087772723
319,23.02,25.58,-1.4776152841519552,-2.151254324801484
320,23.0,25.59,-1.4775119536194588,-2.15061132528725
321,22.99,25.59,-1.4769113154139482,-2.1511003634488954
322,22.98,25.6,-1.4776178363691768,-2.1510021903962024
323,22.95,25.62,-1.477414244516885,-2.151153379818808
324,22.9,25.64,-1.4772302415915062,-2.1500129453896344
325,22.85,25.66,-1.477148313439746,-2.150579558322795
326,22.79,25.66,-1.4770745353204224,-2.1502180521370926
327,22.74,25.68,-1.4760378307123434,-2.1479898499559553
328,22.68,25.68,-1.4760454290067782,-2.14913042665088
329,22.61,25.68,-1.4773562052944424,-2.1458660743127007
330,22.56,25.67,-1.477096072683879,-2.1461876764971874
331,22.49,25.67,-1.4767807060900535,-2.146180671237392
332,22.44,25.68,-1.4767345826623581,-2.146711300794179
333,22.39,25.68,-1.4768553015382195,-2.1481737896937583
334,22.33,25.67,-1.4737043207578242,-2.1467928873778437
335,22.27,25.67,-1.4747331920690825,-2.146856131124466
336,22.22,25.67,-1.4744032802467557,-2.146517798096495
337,22.18,25.67,-1.474851310524076,-2.14722877242419
338,22.13,25.67,-1.4742834698392275,-2.147149750121562
339,22.1,25.68,-1.4752229033169877,-2.1468129322855205
340,22.21,25.67,-1.4779571087848753,-2.149178728908735
341,22.23,25.67,-1.479785356369188,-2.150912908454461
342,22.34,25.67,-1.481154020564101,-2.1520890786442926
343,22.39,25.66,-1.4804833757611584,-2.153084414765728
344,22.42,25.65,-1.4803936350578226,-2.1536750923017527
345,22.43,25.64,-1.4805737945359174,-2.154576338775452
346,22.45,25.63,-1.4815079944954277,-2.155412484688537
347,22.46,25.63,-1.481723567050496,-2.155941909661358
348,22.47,25.62,-1.4813207527093781,-2.1563739719297574
349,22.48,25.62,-1.4812908595391587,-2.1558510350933577
350,22.49,25.62,-1.482051871619017,-2.156300688704206
351,22.49,25.61,-1.4830300570666448,-2.1573314831569
352,22.5,25.62,-1.4831323329092525,-2.1568427261890597
353,22.51,25.61,-1.4820106821801033,-2.1559753695355535
